faixa,bloco_validacao,quadro,temperatura,intensidade,calibracao,limiar,fator,classe,fracao_excluida,delta_e00
0,0,200,2700,1.5,campo,24.0,0.5,amarelo,1.0,
0,0,200,2700,1.5,campo,24.0,0.5,azul,0.911554921541,3.11201060751
0,0,200,2700,1.5,campo,24.0,0.5,vermelho,1.0,
0,0,200,3200,0.4,sem,24.0,0.5,amarelo,0.0,21.9927477276
0,0,200,3200,0.4,sem,24.0,0.5,azul,0.911554921541,34.8021842965
0,0,200,3200,0.4,sem,24.0,0.5,vermelho,0.0958904109589,12.9978719695
0,0,200,3200,0.4,campo,24.0,0.5,amarelo,0.0,0.409445935635
0,0,200,3200,0.4,campo,24.0,0.5,azul,0.911554921541,0.282181637925
0,0,200,3200,0.4,campo,24.0,0.5,vermelho,0.0958904109589,0.576720148464
0,0,200,3200,1.0,sem,24.0,0.5,amarelo,1.0,
0,0,200,3200,1.0,sem,24.0,0.5,azul,0.911554921541,28.7448002076
0,0,200,3200,1.0,sem,24.0,0.5,vermelho,0.986301369863,16.1318027496
0,0,200,3200,1.0,campo,24.0,0.5,amarelo,1.0,
0,0,200,3200,1.0,campo,24.0,0.5,azul,0.911554921541,0.853429642694
0,0,200,3200,1.0,campo,24.0,0.5,vermelho,0.986301369863,0.82426231151
0,0,200,3200,1.5,sem,24.0,0.5,amarelo,1.0,
0,0,200,3200,1.5,sem,24.0,0.5,azul,0.911554921541,30.4451091593
0,0,200,3200,1.5,sem,24.0,0.5,vermelho,1.0,
0,0,200,3200,1.5,campo,24.0,0.5,amarelo,1.0,
0,0,200,3200,1.5,campo,24.0,0.5,azul,0.911554921541,3.81313330945
0,0,200,3200,1.5,campo,24.0,0.5,vermelho,1.0,
0,0,200,3800,0.4,sem,24.0,0.5,amarelo,0.0,20.5186895215
0,0,200,3800,0.4,sem,24.0,0.5,azul,0.911554921541,28.3564340356
0,0,200,3800,0.4,sem,24.0,0.5,vermelho,0.0958904109589,13.9584470183
0,0,200,3800,0.4,campo,24.0,0.5,amarelo,0.0,0.338665861055
0,0,200,3800,0.4,campo,24.0,0.5,azul,0.911554921541,0.264450619598
0,0,200,3800,0.4,campo,24.0,0.5,vermelho,0.0958904109589,0.525838001298
0,0,200,3800,1.0,sem,24.0,0.5,amarelo,0.997347480106,12.9244161614
0,0,200,3800,1.0,sem,24.0,0.5,azul,0.911554921541,18.4499856371
