faixa,bloco_validacao,quadro,temperatura,intensidade,calibracao,espaco,semente,iou_amarelo,iou_azul,iou_vermelho,miou
0,0,0,3200,1.0,campo,Lab,1,0.882,0.644756277696,0.646017699115,0.72425799227
0,0,0,3200,1.0,campo,ab,2,0.755136986301,0.0386899485907,0.692307692308,0.495378209067
0,0,0,3200,1.0,campo,Lab,2,0.892712550607,0.59428182437,0.637554585153,0.70818298671
0,0,0,3200,1.5,sem,ab,0,0.0484289121643,0.0,0.459064327485,0.169164413217
0,0,0,3200,1.5,sem,Lab,0,0.0539323247488,0.0,0.475609756098,0.176514026949
0,0,0,3200,1.5,sem,ab,1,0.0538204448542,0.00105152471083,0.610441767068,0.221771245544
0,0,0,3200,1.5,sem,Lab,1,0.0540634406113,0.0,0.611764705882,0.221942715498
0,0,0,3200,1.5,sem,ab,2,0.0484138503006,0.0,0.63829787234,0.228903907547
0,0,0,3200,1.5,sem,Lab,2,0.0539012003693,0.0,0.611111111111,0.221670770493
0,0,0,3200,1.5,campo,ab,0,0.741463414634,0.0351446661858,0.635627530364,0.470745203728
0,0,0,3200,1.5,campo,Lab,0,0.912,0.556493506494,0.604743083004,0.691078863166
0,0,0,3200,1.5,campo,ab,1,0.751235584843,0.034892591849,0.663755458515,0.483294545069
0,0,0,3200,1.5,campo,Lab,1,0.912,0.590062111801,0.65367965368,0.718580588494
0,0,0,3200,1.5,campo,ab,2,0.75,0.0348911651729,0.665198237885,0.483363134353
0,0,0,3200,1.5,campo,Lab,2,0.912,0.565104166667,0.636752136752,0.704618767806
0,0,0,3800,0.4,sem,ab,0,0.691851851852,0.0,0.62,0.437283950617
0,0,0,3800,0.4,sem,Lab,0,0.912205567452,0.0,0.681318681319,0.53117474959
0,0,0,3800,0.4,sem,ab,1,0.715625,0.0,0.643171806167,0.452932268722
0,0,0,3800,0.4,sem,Lab,1,0.873661670236,0.0,0.688888888889,0.520850186375
0,0,0,3800,0.4,sem,ab,2,0.707575757576,0.0,0.640350877193,0.449308878256
0,0,0,3800,0.4,sem,Lab,2,0.873661670236,0.0,0.688888888889,0.520850186375
0,0,0,3800,0.4,campo,ab,0,0.76116838488,0.0387113880419,0.648068669528,0.482649480817
0,0,0,3800,0.4,campo,Lab,0,0.856866537718,0.65543071161,0.641860465116,0.718052571481
0,0,0,3800,0.4,campo,ab,1,0.76116838488,0.0387978869801,0.666666666667,0.488877646175
0,0,0,3800,0.4,campo,Lab,1,0.884231536926,0.517930629042,0.642201834862,0.681454666943
0,0,0,3800,0.4,campo,ab,2,0.758561643836,0.0386074832333,0.704301075269,0.500490067446
0,0,0,3800,0.4,campo,Lab,2,0.795332136445,0.672811059908,0.660194174757,0.70944579037
0,0,0,3800,1.0,sem,ab,0,0.141258318209,0.0,0.528813559322,0.22335729251
0,0,0,3800,1.0,sem,Lab,0,0.145076110593,0.0,0.640350877193,0.261808995929
0,0,0,3800,1.0,sem,ab,1,0.141558047893,0.0,0.632478632479,0.258012226791
0,0,0,3800,1.0,sem,Lab,1,0.145121193288,0.0,0.640350877193,0.261824023494
0,0,0,3800,1.0,sem,ab,2,0.140874811463,0.0,0.59375,0.244874937154
0,0,0,3800,1.0,sem,Lab,2,0.145076110593,0.0,0.640350877193,0.261808995929
0,0,0,3800,1.0,campo,ab,0,0.751277683135,0.0445250996831,0.701421800948,0.499074861255
0,0,0,3800,1.0,campo,Lab,0,0.875,0.650037230082,0.640350877193,0.721796035758
0,0,0,3800,1.0,campo,ab,1,0.753846153846,0.044910948006,0.659090909091,0.485949336981
0,0,0,3800,1.0,campo,Lab,1,0.851351351351,0.668711656442,0.640350877193,0.720137961662
0,0,0,3800,1.0,campo,ab,2,0.753846153846,0.0449253807888,0.669902912621,0.489558149085
0,0,0,3800,1.0,campo,Lab,2,0.885542168675,0.670498084291,0.663636363636,0.739892205534
0,0,0,3800,1.5,sem,ab,0,0.0834524660472,0.0,0.625514403292,0.23632228978
0,0,0,3800,1.5,sem,Lab,0,0.0860353721444,0.0,0.627615062762,0.237883478302
0,0,0,3800,1.5,sem,ab,1,0.0847703757488,0.0,0.451149425287,0.178639933679
0,0,0,3800,1.5,sem,Lab,1,0.0927691696464,0.0,0.626050420168,0.239606529938
0,0,0,3800,1.5,sem,ab,2,0.0846321130845,0.0,0.674208144796,0.252946752627
0,0,0,3800,1.5,sem,Lab,2,0.0894293374186,0.0,0.566539923954,0.218656420458
0,0,0,3800,1.5,campo,ab,0,0.737704918033,0.0347501093396,0.644351464435,0.472268830603
0,0,0,3800,1.5,campo,Lab,0,0.901803607214,0.548757170172,0.627615062762,0.692725280049
0,0,0,3800,1.5,campo,ab,1,0.731707317073,0.0348365545216,0.639344262295,0.468629377963
0,0,0,3800,1.5,campo,Lab,1,0.892857142857,0.564705882353,0.626050420168,0.694537815126
0,0,0,3800,1.5,campo,ab,2,0.746268656716,0.0349217752235,0.655021834061,0.478737422
0,0,0,3800,1.5,campo,Lab,2,0.903614457831,0.6223977028,0.631355932203,0.719122697611
0,0,200,2700,0.4,sem,ab,0,0.000438837081733,0.0,0.63184079602,0.210759877701
0,0,200,2700,0.4,sem,Lab,0,0.0,0.0,0.611607142857,0.203869047619
0,0,200,2700,0.4,sem,ab,1,0.000438692695767,0.0,0.638613861386,0.213017518027
0,0,200,2700,0.4,sem,Lab,1,0.0,0.0,0.612903225806,0.204301075269
0,0,200,2700,0.4,sem,ab,2,0.000467071461934,0.0,0.614678899083,0.205048656848
0,0,200,2700,0.4,sem,Lab,2,0.0,0.0,0.611872146119,0.20395738204
0,0,200,2700,0.4,campo,ab,0,0.751269035533,0.0353496630483,0.680751173709,0.489123290763
0,0,200,2700,0.4,campo,Lab,0,0.894736842105,0.681712062257,0.646226415094,0.740891773152
0,0,200,2700,0.4,campo,ab,1,0.751269035533,0.0354186018335,0.684210526316,0.490299387894
0,0,200,2700,0.4,campo,Lab,1,0.8671875,0.650887573964,0.644230769231,0.720768614398
0,0,200,2700,0.4,campo,ab,2,0.751269035533,0.0349104453955,0.694300518135,0.493493333021
0,0,200,2700,0.4,campo,Lab,2,0.868884540117,0.55253164557,0.625570776256,0.682328987314
0,0,200,2700,1.0,sem,ab,0,0.00286759616335,0.0,0.588932806324,0.197266800829
0,0,200,2700,1.0,sem,Lab,0,0.00528355054597,0.0,0.498381877023,0.167888475856
0,0,200,2700,1.0,sem,ab,1,0.00308084563901,0.0,0.6,0.201026948546
0,0,200,2700,1.0,sem,Lab,1,0.00592066311427,0.0,0.48427672956,0.163399130891
0,0,200,2700,1.0,sem,ab,2,0.0,0.0,0.59126984127,0.19708994709
0,0,200,2700,1.0,sem,Lab,2,0.00531443755536,0.0,0.522336769759,0.175883735772
0,0,200,2700,1.0,campo,ab,0,0.739635157546,0.0285834930328,0.669642857143,0.47928716924
0,0,200,2700,1.0,campo,Lab,0,0.89378757515,0.628075253256,0.63829787234,0.720053566916
0,0,200,2700,1.0,campo,ab,1,0.733552631579,0.0289051672936,0.621951219512,0.461469672795
0,0,200,2700,1.0,campo,Lab,1,0.890219560878,0.339779005525,0.604838709677,0.61161242536
0,0,200,2700,1.0,campo,ab,2,0.742096505824,0.0289357204202,0.652173913043,0.474402046429
0,0,200,2700,1.0,campo,Lab,2,0.897384305835,0.621660649819,0.617283950617,0.712109635424
0,0,200,2700,1.5,sem,ab,0,0.00196753566158,0.0,0.576779026217,0.192915520626
0,0,200,2700,1.5,sem,Lab,0,0.0024543805357,0.0,0.418666666667,0.140373682401
0,0,200,2700,1.5,sem,ab,1,0.00234341712825,0.0,0.581132075472,0.194491830867
0,0,200,2700,1.5,sem,Lab,1,0.002997002997,0.0,0.404639175258,0.135878726085
0,0,200,2700,1.5,sem,ab,2,0.00209843571156,0.0,0.578947368421,0.193681934711
0,0,200,2700,1.5,sem,Lab,2,0.00332829046899,0.0,0.419786096257,0.141038128909
0,0,200,2700,1.5,campo,ab,0,0.739273927393,0.0360266987273,0.665217391304,0.480172672475
0,0,200,2700,1.5,campo,Lab,0,0.899598393574,0.74671340929,0.581132075472,0.742481292779
0,0,200,2700,1.5,campo,ab,1,0.73805601318,0.0358948851861,0.666666666667,0.480205855011
0,0,200,2700,1.5,campo,Lab,1,0.899598393574,0.8875,0.63179916318,0.806299185585
0,0,200,2700,1.5,campo,ab,2,0.735632183908,0.0360341681871,0.655319148936,0.475661833677
0,0,200,2700,1.5,campo,Lab,2,0.899598393574,0.888544891641,0.6375,0.808547761738
0,0,200,3200,0.4,sem,ab,0,0.073566293262,0.0,0.675531914894,0.249699402719
0,0,200,3200,0.4,sem,Lab,0,0.0,0.0,0.670212765957,0.223404255319
0,0,200,3200,0.4,sem,ab,1,0.0747471284073,0.0,0.675531914894,0.250093014434
0,0,200,3200,0.4,sem,Lab,1,0.0,0.0,0.610655737705,0.203551912568
0,0,200,3200,0.4,sem,ab,2,0.0732115932317,0.0,0.664921465969,0.246044353067
0,0,200,3200,0.4,sem,Lab,2,0.0,0.0,0.638190954774,0.212730318258
0,0,200,3200,0.4,campo,ab,0,0.76116838488,0.0298943506471,0.633333333333,0.47479868962
0,0,200,3200,0.4,campo,Lab,0,0.891348088531,0.635115606936,0.658536585366,0.728333426944
0,0,200,3200,0.4,campo,ab,1,0.76116838488,0.0299452138701,0.689119170984,0.493410923245
0,0,200,3200,0.4,campo,Lab,1,0.891348088531,0.654422788606,0.628440366972,0.72473708137
0,0,200,3200,0.4,campo,ab,2,0.76116838488,0.030288395198,0.707446808511,0.499634529529
0,0,200,3200,0.4,campo,Lab,2,0.889558232932,0.620226308345,0.645739910314,0.71850815053
0,0,200,3200,1.0,sem,ab,0,0.0544035414725,0.0,0.629955947137,0.228119829536
0,0,200,3200,1.0,sem,Lab,0,0.0622998932764,0.0,0.598393574297,0.220231155858
0,0,200,3200,1.0,sem,ab,1,0.0551618237657,0.0,0.643171806167,0.232777876644
0,0,200,3200,1.0,sem,Lab,1,0.0578041836861,0.0,0.634782608696,0.230862264127
0,0,200,3200,1.0,sem,ab,2,0.0514786418401,0.0,0.642533936652,0.231337526164
0,0,200,3200,1.0,sem,Lab,2,0.0585726828045,0.0,0.598393574297,0.218988752367
0,0,200,3200,1.0,campo,ab,0,0.737896494157,0.0338558718176,0.691588785047,0.487780383674
0,0,200,3200,1.0,campo,Lab,0,0.86328125,0.582724252492,0.629310344828,0.691771949106
0,0,200,3200,1.0,campo,ab,1,0.737896494157,0.0337178008458,0.641025641026,0.470879978676
0,0,200,3200,1.0,campo,Lab,1,0.888663967611,0.662604722011,0.623931623932,0.725066771185
0,0,200,3200,1.0,campo,ab,2,0.754266211604,0.0335429769392,0.655021834061,0.480943674201
